image_path,lat,lon,esa_code,label,label_idx,split
/content/data/rgb/28.7178_76.9558.png,28.7178,76.9558,40,Cropland,1,train
/content/data/rgb/28.4678_77.3057.png,28.4678,77.3057,50,Built-up,0,train
/content/data/rgb/28.2855_77.3233.png,28.2855,77.3233,40,Cropland,1,train
/content/data/rgb/28.2354_77.0322.png,28.2354,77.0322,40,Cropland,1,train
/content/data/rgb/28.2442_77.3558.png,28.2442,77.3558,40,Cropland,1,train
/content/data/rgb/28.2354_77.0146.png,28.2354,77.0146,40,Cropland,1,train
/content/data/rgb/28.9266_77.6443.png,28.9266,77.6443,50,Built-up,0,train
/content/data/rgb/28.3855_77.1943.png,28.3855,77.1943,20,Vegetation,2,train
/content/data/rgb/28.2090_76.9443.png,28.209,76.9443,50,Built-up,0,train
/content/data/rgb/28.3556_77.1733.png,28.3556,77.1733,20,Vegetation,2,train
/content/data/rgb/28.3090_77.6146.png,28.309,77.6146,40,Cropland,1,train
/content/data/rgb/28.6678_77.2910.png,28.6678,77.291,50,Built-up,0,train
/content/data/rgb/28.7591_77.2146.png,28.7591,77.2146,40,Cropland,1,train
/content/data/rgb/28.5766_77.3321.png,28.5766,77.3321,50,Built-up,0,train
/content/data/rgb/28.4266_77.3145.png,28.4266,77.3145,50,Built-up,0,train
/content/data/rgb/28.4590_77.1058.png,28.459,77.1058,10,Vegetation,2,train
/content/data/rgb/28.4590_77.5234.png,28.459,77.5234,50,Built-up,0,train
/content/data/rgb/28.6590_76.8822.png,28.659,76.8822,40,Cropland,1,train
/content/data/rgb/28.6091_77.5410.png,28.6091,77.541,40,Cropland,1,train
/content/data/rgb/28.2178_77.2410.png,28.2178,77.241,40,Cropland,1,train
/content/data/rgb/28.9766_77.6322.png,28.9766,77.6322,40,Cropland,1,train
/content/data/rgb/28.3178_77.4233.png,28.3178,77.4233,40,Cropland,1,train
/content/data/rgb/28.3090_77.0944.png,28.309,77.0944,40,Cropland,1,train
/content/data/rgb/28.4442_77.6146.png,28.4442,77.6146,40,Cropland,1,train
/content/data/rgb/28.7591_77.5058.png,28.7591,77.5058,50,Built-up,0,train
/content/data/rgb/28.3178_77.3409.png,28.3178,77.3409,50,Built-up,0,train
/content/data/rgb/28.3556_77.1443.png,28.3556,77.1443,20,Vegetation,2,train
/content/data/rgb/28.8442_76.9646.png,28.8442,76.9646,40,Cropland,1,train
/content/data/rgb/28.9854_77.4646.png,28.9854,77.4646,40,Cropland,1,train
/content/data/rgb/28.8767_77.1557.png,28.8767,77.1557,40,Cropland,1,train
/content/data/rgb/28.9942_77.4321.png,28.9942,77.4321,40,Cropland,1,train
/content/data/rgb/28.7266_77.4233.png,28.7266,77.4233,40,Cropland,1,train
/content/data/rgb/28.5557_77.5557.png,28.5557,77.5557,50,Built-up,0,train
/content/data/rgb/28.9354_77.3734.png,28.9354,77.3734,40,Cropland,1,train
/content/data/rgb/28.4678_76.9822.png,28.4678,76.9822,40,Cropland,1,train
/content/data/rgb/28.9266_77.0234.png,28.9266,77.0234,40,Cropland,1,train
/content/data/rgb/28.4354_77.5443.png,28.4354,77.5443,50,Built-up,0,train
/content/data/rgb/28.8767_77.1058.png,28.8767,77.1058,50,Built-up,0,train
/content/data/rgb/28.9266_76.9910.png,28.9266,76.991,40,Cropland,1,train
/content/data/rgb/28.6179_77.2558.png,28.6179,77.2558,10,Vegetation,2,train
/content/data/rgb/28.4590_77.6234.png,28.459,77.6234,40,Cropland,1,train
/content/data/rgb/28.7679_77.1943.png,28.7679,77.1943,50,Built-up,0,train
/content/data/rgb/28.9090_77.0909.png,28.909,77.0909,40,Cropland,1,train
/content/data/rgb/28.6678_77.3321.png,28.6678,77.3321,50,Built-up,0,train
/content/data/rgb/28.5091_77.3943.png,28.5091,77.3943,50,Built-up,0,train
/content/data/rgb/28.3178_77.1058.png,28.3178,77.1058,40,Cropland,1,train
/content/data/rgb/28.4178_77.3444.png,28.4178,77.3444,50,Built-up,0,train
/content/data/rgb/28.5557_77.3943.png,28.5557,77.3943,30,Vegetation,2,train
/content/data/rgb/28.3057_77.0443.png,28.3057,77.0443,40,Cropland,1,train
/content/data/rgb/28.9057_77.0557.png,28.9057,77.0557,40,Cropland,1,train
/content/data/rgb/28.6091_77.5146.png,28.6091,77.5146,40,Cropland,1,train
